书名,价格,作者,出版社
【新华自营正版】的逻辑 机工出版 9787111587729,￥79.40,马俊昌,机械工业出版社
思维 美 艾伦 唐尼 Allen B Downey 克里斯 梅菲尔德Chris Mayf,￥29.40,美 艾伦 唐尼 Allen B,人民邮电出版社
手记——从实践中学习【正版图书，售后无忧】,￥58.22,欧二强,清华大学出版社
【官方正版】代码审计 入门篇 语言程序设计基础入门到精通 思,￥64.95,无,无
实战 第2版  8实战 8、9、10新特性  语言程序开发书籍,￥89.20,无,无
"指南 布迪克尼亚万　著,闫斌,贺莲　译 机械工业出版社",￥23.80,(美)布迪·克尼亚万　著,机械工业出版社
一步到位,￥24.63,王铁敬 著,北京中软电子出版社
方：响应式Spring Reactor 3设计与实现 知秋 著,￥67.00,知秋 著,博文视点
轻松学 【正版书】,￥26.00,赵振方,化学工业出版社
"风格(英汉对照) (美)弗穆兰 ,曹铁鸥 9787115177681",￥54.24,美弗穆兰,人民邮电出版社
现货 Effective 中文版（原书第3版）|8054944,￥70.00,无,无
思科网络技术学院教程：基础实验手册,￥71.74,思科网络技术学院,人民邮电出版社
入门：任务式学习指南 开课吧组编 安志刚,￥62.40,开课吧组编安志刚李伟杰著,机械工业出版社
"入门经典 （美）卡登赫斯第　著,梅兴文　译 人民邮电出版社",￥37.24,（美）卡登赫斯第　著,人民邮电出版社
 思想--Thinking in  【正版】,￥20.00,(~{#C@#)~} ~{0#,机械工业出版社
"思想 （美）埃克尔（Eckel,B.） 著,刘中兵 评注 电子工业出版社",￥103.54,（美）埃克尔（Eckel,电子工业出版社
Netty 4核心原理与手写RPC框架实战 咕泡学院架构师成长丛书,￥77.80,无,无
入门指南9787121357947电子工业,￥52.00,明日科技,电子工业出版社
手记从实践中学习 欧二强　等编著 清华大学出版社,￥63.84,欧二强　等编著,清华大学出版社
讲义 清华大学出版社 语言 荣锐锋 等 编【正版图书，售后无忧】,￥52.35,荣锐锋、张晨光、殷晋、王向南、尹成,清华大学出版社
基础、实例与进阶 【正版书】,￥28.00,王勇  等编著,清华大学出版社
** 明解 柴田望洋著 零基础自学从入门到精通语言程序设计基础书籍电脑程序,￥64.40,(日)柴田望洋,人民邮电出版社
Quarkus实战:专为Kubernetes而优化的解决方案 程序设计,￥82.80,无,无
【正版图书 品质保证】方：响应式Spring Reactor 3设计与实现(博文视点出品,￥72.75,知秋 著,电子工业出版社
软件开发与印应用走进世界9787302511991,￥40.02,-,清华大学出版社
"【正品新书,满59包邮】深入浅出  清华大学 9787302576785",￥48.30,迟殿委,清华大学出版社
【新华自营 正版】【自营】入门指南 语言/ Web/JSP/MySQL/scrip,￥55.40,明日科技,电子工业出版社
深入理解高并发 思想教程书籍从入门到精通语言程序设计基础计算机组成CPUlinux内核剖析JVM原理详解教材,￥103.60,无,清华大学出版社
思想第4版 thinking in 中文版第四版 正版程序设计书籍,￥79.80,无,无
"精通XMI－使用XMI、XML和UML进行 （美）格罗斯 等著,徐强 等译",￥58.88,（美）格罗斯 等著,电子工业出版社
"【新华自营正版】入门官方教程 [美]HerbertSchildt,左雷 清华大学出版社",￥73.50,(美)HerbertSchil,清华大学出版社
入门：任务式学习指南 开课吧组编安志刚李伟杰 编著 9787111660408,￥64.00,开课吧组编安志刚李伟杰 编著,机工出版
"入门经典 （美）卡登赫斯第　著,梅兴文　译 人民邮电出版社",￥31.20,（美）卡登赫斯第　著,人民邮电出版社
"【新华自营正版】从零开始学 袁礼,黄玉钏,冀建平 著 清华大学出版社",￥57.00,袁礼,清华大学出版社
剑指Offer 名企面试官精讲典型题 第2版  python c 程序员面试宝典 off,￥30.20,无,无
思想,￥50.00,(美)埃克尔,机械工业出版社
风格,￥121.00,(美)弗穆兰,人民邮电出版社
指南,￥60.00,(美)布迪·克尼亚万（Budi Kurn,机械工业出版社
【新华自营正版】无难事—详解核心思想与技术 博文视点 9787121396038,￥153.00,孙鑫,电子工业出版社
【正版图书 品质保证】无难事――详解核心思想与技术 孙鑫 电子工业出版社,￥153.67,孙鑫,电子工业出版社
